"Smokers","Adults.with.Obesity","Physically.Inactive","With.Access.to.Exercise.Opportunities","Excessive.Drinking","Uninsured","Unemployed","Children.in.Poverty","Life.Expectancy","Premature.age.adjusted.mortality","Age.Adjusted.Death.Rate","Child.Mortality.Rate","Infant.Mortality.Rate","Frequent.Physical.Distress","Frequent.Mental.Distress","Adults.with.Diabetes","HIV.Prevalence.Rate","Food.Insecure","Limited.Access.to.Healthy.Foods","Insufficient.Sleep","Uninsured.adults","Median.Household.Income","Suicide.Rate..Age.Adjusted.","Average.Traffic.Volume.per.Meter.of.Major.Roadways","Population","less.than.18.years.of.age","pp.65.and.over","mean","sd","median","days","agg","location"
17,31,27,74,18,11,3.6,14,78.5,2967,353,47,6,12,13,11,167,12,5,33,14,57588,19,87,218022,21.6,20.4,8.469723183,3.717849808,7.7,1156,9791,"Alabama Baldwin"
20,41,33,64,13,14,3.9,26,75.2,275,510.763885628655,69.2322711341969,8.39648571702681,15,16,14,174,15,2,39,17,39201,23,37,13275,20.2,20.7,8.501128472,4.035936371,7.85,1152,9793.3,"Alabama Clay"
19,31,37,56,15,10,4.6,21,74.7,1044,479.127686738737,67,9,14,14,16,100,15,7,37,12,49055,18,81,54762,20.8,19.9,9.578971993,4.527556723,8.9,1806,17299.62342,"Alabama Colbert"
21,29,32,45,12,17,3.8,30,74.5,1302,484.189055580868,62,7,16,16,13,88,12,2,36,23,39491,19,53,71385,24.1,17.3,8.941139804,4.088671727,8.4,1123,10040.9,"Alabama DeKalb"
20,36,34,49,14,12,4.1,22.8829268362688,73,2201,494.378281540305,65.2052016270192,8,15,15,16,187,15,9,41,16,44903,16,140,102501,21.5,19,11.92788861,4.74856641282136,10.8729165,4226,50407.25727,"Alabama Etowah"
19,38,31,67,14,11,4,22,75.9,1637,464.355024860838,68.4670222319464,10,14,15,14,273.81091400492,17,6,37,14,47993,15,140,104722,23,17.8,9.993455195,5.091607231,8.9,1779,17778.35679,"Alabama Houston"
18,35,27.7042909116446,79,15,10,3.7,23,74.7,2013.62191499276,442.923871703098,62.1810113503846,7.34544228663895,14,15,13,242.522624035674,14.9749397741963,12,36,13,55013,13,156.492137571909,135374.005559549,22.8,15.9,10.48326727,4.616036428,9.7,3332.9635795566,33651.1552087973,"Alabama Jefferson"
20,33,36,49,14,14,4.2,31,73.8,666,507.902554811002,77.1453897793015,8.57379762523811,15,15,19,82,13,2,39,17,43909,22,30,32957,21.6,18.7,7.102471483,3.694521566,6.3,1052,7471.8,"Alabama Lawrence"
17,33,22,69,16,9,3.5,17,77.4,2335.41278455663,413.058761034104,63,7,13,14,14,232.501225289151,14,7,36,12,52165.6821420446,16,199,165343.832050576,21.8,15,9.159666836,3.910996788,8.6,3019,27653.03418,"Alabama Madison"
19,36,31,70,15,12,4.7,31,75.1,7126,496,75,9,14,16,14,511,18,10,37,15,43598,16,253,163025.243557117,23.4,16.2,8.506209501,4.66980599,8.1,4711,40072.75296,"Alabama Mobile"
20,38,29,74,14,11,4,31,76.1,3323,445,94,9,15,15,14,302.384671774474,21,15,37,14,49640,11,359,225763,23.4,15.1,10.9520003,5.876751193,10.3,5936,65011.07379,"Alabama Montgomery"
19,32,27,59,14,12,3.5,20,75.5,1988,421.373634034401,50,8,14,14,13,141,13,4,38,15,52797,22,123,119089,22.8,17.5,8.058983377,4.064836134,7.620833,5502,44340.52654,"Alabama Morgan"
20.6042335852869,34.2075113361693,29.3964989725196,64,13,11,4,23.2765431078605,73.5,1098,499.242701623606,67.9943685282581,9,15,16,13.6727341618881,221.522337380463,14.7014608644737,6,35.6832410492003,15,39104,17,222,57781,24.2,14.3,10.4874827,5.018643877,9.6,4839,50748.92878,"Alabama Russell"
16,35,25,71.6231714097991,17,8,2.9,9,80.5,2188,295,44,6,12,12,11,155,9,4,37,10,60308.8931030918,14,113,215707,23.5,15.3,9.902463054,4.073115948,9.3,609,6030.6,"Alabama Shelby"
22.5583393602818,34.9087291275758,31.9811827037052,36,11,11,5.9,26.8392360131759,73.8,238,521.859855771338,70.9854499558892,8.64096078642321,14.5238577847604,18,15.1721166906828,168.821226460665,16.3751347963686,10,37.5227565112734,14,27859,16.1784854327503,13,12691,19,18,6.298907012,3.911778778,5.9,3308,20836.7844,"Alabama Sumter"
